study.ID,ID,publication.year,data.year,exp.year,exp.length,disturbance,focus,technique,intervention,paradigm,hypothesis,pathway,plant.species,target.plant,measure.success,outcome,measured.factor,treatment,control,unit,Nsites,n.t,n.c,ntotalsamples,mean.t,mean.c,sd.t,sd.c,se.t,se.c,p,df,measure.dispersion,lat,long,continent,country,ecosystem,elevation,MAP,MAT,aridity.index,potential.evaporation (mm),grazing,soil,notes,spatial.grain,term
1,1.1,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,soil moisture,litter center,bare sand,percent,3,9,9,27,13.72,11.97,0.9,0.45,0.3,0.15,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.1,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,soil moisture,litter middle,bare sand,percent,3,9,9,27,13.81,11.97,0.42,0.45,0.14,0.15,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.1,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,soil moisture,litter edge,bare sand,percent,3,9,9,27,14.22,11.97,0.36,0.45,0.12,0.15,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.2,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,temperature,litter center,bare sand,centigrade,3,9,9,27,22.03,26.62,2.49,0.57,0.83,0.19,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.2,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,temperature,litter middle,bare sand,centigrade,3,9,9,27,21.9,26.62,1.59,0.57,0.53,0.19,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.2,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,temperature,litter edge,bare sand,centigrade,3,9,9,27,22.49,26.62,1.41,0.57,0.47,0.19,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.3,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,light intensity,litter center,bare sand,Klux,3,9,9,27,64.8,88.89,19.89,8.4,6.63,2.8,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.3,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,light intensity,litter middle,bare sand,Klux,3,9,9,27,51.46,88.89,13.2,8.4,4.4,2.8,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.3,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,light intensity,litter edge,bare sand,Klux,3,9,9,27,66.85,88.89,9.9,8.4,3.3,2.8,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.4,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,soil organic matter,litter center,bare sand,g Kg-1,3,9,9,27,9.32,5.47,1.05,0.66,0.35,0.22,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.4,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,soil organic matter,litter middle,bare sand,g Kg-1,3,9,9,27,11.05,5.47,1.47,0.66,0.49,0.22,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.4,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,soil organic matter,litter edge,bare sand,g Kg-1,3,9,9,27,9.01,5.47,1.11,0.66,0.37,0.22,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.5,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,seedling richness,litter,bare sand,number of species,3,9,9,27,5.44,1.28,1.14,1.8,0.38,0.6,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
1,1.6,2018,,,,desertification,soil,litter crust ,soil,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,habitat,seedlings,litter,bare sand,No,3,9,9,27,16.31,4.61,3.42,1.17,1.14,0.39,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,,0.56,785,,physical and chemical factors,"potential use, unreported exp length",,
